date,RV_sec1,LSIML_b=10,LSIML_b=50,LSIML_b=100,Num_jump_b=10,Num_jump_b=50,Num_jump_b=100,Size_jump_b=10,Size_jump_b=50,Size_jump_b=100
2018-09-03,6.25094786700674e-05,1.658841292808403e-05,3.9523841925421355e-05,3.700527892046809e-05,2,2,7,1.8074088914501897e-05,1.1569945142033631e-05,1.7206414479252363e-05
2018-09-04,7.572753537499979e-05,2.6702971906039813e-05,3.679931720996979e-05,3.6366642468250025e-05,1,3,8,3.791008348804724e-05,4.6548031483951455e-05,4.265779093126477e-05
2018-09-05,0.00010246510198939343,3.4779361592085125e-05,4.790621236800366e-05,4.608000024851723e-05,1,3,8,6.946639757020738e-05,3.3659505953002514e-05,4.1131081629120445e-05
2018-09-06,0.00011806978435755208,1.8106301111289568e-05,4.2708030109523075e-05,4.855112992207851e-05,2,5,9,2.940869099757097e-05,3.093965556881072e-05,3.455751632628284e-05
2018-09-07,0.00010676581947363031,3.167173583858972e-05,5.0838993149308876e-05,4.805929560986011e-05,1,2,8,2.4405635503699924e-05,1.4410966969495597e-05,3.0624005717656936e-05
2018-09-10,8.383047394917613e-05,5.9019551312150045e-05,3.844319381848214e-05,4.304703980024907e-05,0,4,6,0.0,1.7426143177464966e-05,1.5154140663213117e-05
2018-09-11,7.528672262665534e-05,3.2505622117907714e-05,4.2534845487691004e-05,3.525951633061077e-05,2,3,10,2.128469844239989e-05,1.3691774594717721e-05,2.727765509645287e-05
2018-09-12,0.00012874496184128896,4.132570603561524e-05,6.356705976200575e-05,5.5806164186099945e-05,2,5,12,6.28900560800476e-05,6.0476254226373685e-05,6.878150114428153e-05
