date,RV_sec1,LSIML_b=10,LSIML_b=50,LSIML_b=100,Num_jump_b=10,Num_jump_b=50,Num_jump_b=100,Size_jump_b=10,Size_jump_b=50,Size_jump_b=100
2018-09-03,6.25094786700674e-05,1.658841292808403e-05,3.9523841925421355e-05,3.700527892046809e-05,2,2,7,1.8074088914501897e-05,1.1569945142033631e-05,1.7206414479252363e-05
2018-09-04,7.572753537499979e-05,2.6702971906039813e-05,3.679931720996979e-05,3.6366642468250025e-05,1,3,8,3.791008348804724e-05,4.6548031483951455e-05,4.265779093126477e-05
